customer_id,age_group,gender,tier,points_balance,primary_redemption_channel,days_since_last_txn,total_transactions,ecommerce_orders,registered_months
CUST0139,55+,M,Standard,2356,Grocery,86,7,3,23
CUST0140,35-44,M,Standard,2048,Grocery,58,17,3,7
CUST0141,55+,F,Standard,4685,Grocery,45,27,2,2
CUST0142,18-24,Other,4U+,66,Grocery,72,28,3,54
CUST0143,25-34,Other,Standard,4973,Fuel,45,11,0,40
CUST0144,18-24,F,Standard,795,Fuel,80,30,0,29
CUST0145,35-44,F,Standard,1076,Grocery,11,28,3,12
CUST0146,55+,Other,Standard,4418,Fuel,46,13,0,54
CUST0147,35-44,M,Standard,3947,Grocery,37,19,0,10
CUST0148,18-24,F,Standard,4565,Grocery,46,5,2,35
CUST0149,35-44,Other,Standard,3019,Grocery,86,17,5,24
CUST0150,55+,Other,Standard,3862,Fuel,3,15,0,59
CUST0151,35-44,Other,Standard,3803,Fuel,89,18,0,8
CUST0152,45-54,M,Standard,304,Fuel,38,8,0,16
CUST0153,55+,F,Standard,3716,Grocery,47,23,5,47
CUST0154,55+,F,Standard,811,Grocery,62,13,0,45
CUST0155,25-34,F,Standard,3632,Fuel,56,8,0,44
CUST0156,35-44,M,Standard,496,Grocery,50,8,3,6
CUST0157,25-34,M,Standard,414,Fuel,42,30,0,37
CUST0158,55+,M,Standard,4540,Fuel,26,12,0,22
CUST0159,25-34,Other,Standard,2271,Fuel,18,13,0,52
CUST0160,18-24,F,Standard,211,Fuel,16,30,0,51
CUST0161,35-44,M,Standard,129,Grocery,22,9,5,27
CUST0162,35-44,Other,Standard,3901,Fuel,57,23,0,7
CUST0163,55+,F,4U+,355,Fuel,84,19,0,42
CUST0164,45-54,Other,Standard,3923,Fuel,51,8,0,32
CUST0165,55+,M,4U+,661,Fuel,41,7,0,9
CUST0166,55+,F,Standard,3120,Grocery,76,19,4,39
CUST0167,55+,Other,4U+,937,Fuel,83,11,0,28
CUST0168,45-54,F,4U+,3389,Fuel,43,18,0,47
CUST0169,35-44,F,Standard,3496,Grocery,40,9,5,60
CUST0170,18-24,F,4U+,747,Fuel,10,8,0,48
CUST0171,55+,Other,Standard,4557,Fuel,7,22,0,22
CUST0172,45-54,Other,Standard,2896,Grocery,85,6,2,39
CUST0173,55+,M,Standard,848,Grocery,73,9,5,31
CUST0174,35-44,M,Standard,2868,Fuel,71,29,0,18
CUST0175,55+,Other,Standard,4595,Grocery,79,25,4,2
CUST0176,35-44,F,Standard,1477,Fuel,34,16,0,1
CUST0177,45-54,M,Standard,4639,Fuel,84,9,0,48
CUST0178,45-54,F,Standard,4345,Fuel,27,19,0,22
CUST0179,55+,Other,Standard,2552,Grocery,41,7,0,10
CUST0180,45-54,Other,Standard,668,Fuel,34,18,0,32
CUST0181,55+,M,4U+,2237,Grocery,27,16,3,8
CUST0182,35-44,M,Standard,4316,Grocery,85,12,3,39
CUST0183,25-34,M,Standard,1674,Fuel,38,29,0,17
CUST0184,45-54,Other,Standard,982,Grocery,0,18,1,9
CUST0185,35-44,M,4U+,4098,Fuel,71,17,0,56
CUST0186,18-24,F,Standard,153,Grocery,58,23,3,37
CUST0187,45-54,M,4U+,2371,Grocery,14,15,1,52
CUST0188,18-24,M,4U+,721,Grocery,55,18,4,26
CUST0189,25-34,F,Standard,2541,Grocery,43,29,1,5
CUST0190,25-34,M,Standard,2862,Fuel,44,8,0,10
CUST0191,25-34,Other,Standard,1421,Fuel,77,7,0,12
CUST0192,45-54,Other,4U+,4618,Grocery,74,23,5,41
CUST0193,18-24,F,Standard,1236,Grocery,56,19,5,20
CUST0194,18-24,F,Standard,2883,Fuel,64,19,0,29
CUST0195,18-24,Other,Standard,3020,Fuel,36,7,0,40
CUST0196,18-24,F,4U+,4754,Grocery,70,30,4,42
CUST0197,55+,M,Standard,4956,Grocery,60,6,3,7
CUST0198,25-34,M,Standard,4133,Fuel,82,12,0,46
CUST0199,55+,M,4U+,4293,Grocery,66,16,2,59
CUST0200,55+,M,Standard,3348,Grocery,43,30,5,42
CUST0201,55+,Other,Standard,2700,Fuel,12,17,0,19
CUST0202,55+,Other,Standard,2730,Fuel,10,9,0,59
CUST0203,55+,Other,Standard,3210,Grocery,16,7,2,36
CUST0204,55+,M,4U+,1046,Grocery,85,25,5,28
CUST0205,25-34,M,Standard,2970,Fuel,39,15,0,50
CUST0206,25-34,M,4U+,1855,Fuel,17,14,0,55
CUST0207,25-34,Other,Standard,2758,Fuel,79,17,0,10
CUST0208,18-24,F,Standard,1356,Fuel,56,16,0,44
CUST0209,25-34,Other,Standard,2334,Grocery,57,12,2,52
CUST0210,55+,F,4U+,3013,Fuel,86,19,0,50
CUST0211,45-54,M,Standard,4119,Grocery,67,11,4,9
CUST0212,55+,M,Standard,3936,Fuel,47,27,0,55
CUST0213,35-44,F,Standard,687,Grocery,20,21,1,54
CUST0214,35-44,M,4U+,1818,Fuel,57,18,0,4
CUST0215,18-24,F,4U+,1931,Grocery,49,12,0,21
CUST0216,18-24,F,Standard,1196,Grocery,17,20,5,54
CUST0217,18-24,M,Standard,3674,Grocery,78,5,2,14
CUST0218,25-34,F,Standard,910,Grocery,36,8,0,16
CUST0219,45-54,Other,4U+,514,Grocery,14,22,0,41
CUST0220,18-24,Other,Standard,2386,Fuel,54,16,0,16
CUST0221,35-44,M,4U+,701,Fuel,67,21,0,35
CUST0222,45-54,F,Standard,3851,Grocery,5,13,5,2
CUST0223,18-24,Other,Standard,2824,Fuel,30,28,0,49
CUST0224,55+,F,Standard,363,Fuel,45,25,0,12
CUST0225,18-24,Other,4U+,1493,Grocery,17,29,3,3
CUST0226,18-24,F,Standard,358,Fuel,25,14,0,33
CUST0227,25-34,F,4U+,2075,Grocery,4,16,0,56
CUST0228,45-54,F,Standard,1019,Grocery,47,28,3,58
CUST0229,45-54,F,4U+,1530,Grocery,63,30,4,18
CUST0230,55+,M,Standard,646,Grocery,55,22,2,21
CUST0231,35-44,F,Standard,2686,Fuel,84,19,0,39
CUST0232,45-54,M,4U+,3636,Fuel,44,28,0,56
CUST0233,18-24,M,Standard,2249,Grocery,81,26,5,26
CUST0234,55+,Other,Standard,255,Fuel,18,30,0,29
CUST0235,35-44,F,Standard,550,Fuel,30,17,0,37
CUST0236,35-44,F,Standard,3685,Fuel,47,29,0,5
CUST0237,35-44,M,Standard,3260,Grocery,40,8,0,48
CUST0238,55+,M,Standard,4241,Grocery,49,13,2,46
CUST0239,45-54,M,4U+,2339,Fuel,88,8,0,9
CUST0240,18-24,Other,Standard,1414,Grocery,56,15,5,23
CUST0241,25-34,F,Standard,2457,Grocery,20,21,1,8
CUST0242,18-24,F,Standard,1939,Fuel,63,22,0,37
CUST0243,55+,M,Standard,4519,Grocery,16,7,2,26
CUST0244,18-24,M,4U+,3354,Grocery,73,15,5,5
CUST0245,25-34,Other,4U+,4238,Grocery,44,25,4,12
CUST0246,18-24,Other,Standard,4119,Grocery,7,9,2,11
CUST0247,55+,F,Standard,1847,Grocery,44,7,2,13
CUST0248,55+,M,Standard,2480,Fuel,78,21,0,42
CUST0249,55+,Other,Standard,1402,Fuel,84,24,0,22
CUST0250,55+,F,Standard,665,Fuel,5,25,0,14
CUST0251,55+,F,4U+,4079,Fuel,80,25,0,20
CUST0252,45-54,M,4U+,3326,Fuel,38,27,0,4
CUST0253,45-54,M,Standard,3404,Grocery,61,15,4,10
CUST0254,25-34,F,Standard,2829,Grocery,51,21,4,7
CUST0255,35-44,F,Standard,3821,Fuel,15,12,0,10
CUST0256,55+,F,Standard,2377,Fuel,49,12,0,56
CUST0257,25-34,M,Standard,4732,Grocery,40,20,4,30
CUST0258,18-24,F,4U+,4074,Grocery,2,21,3,16
CUST0259,35-44,F,Standard,398,Grocery,6,24,5,44
CUST0260,18-24,F,4U+,4396,Grocery,1,9,2,47
CUST0261,45-54,M,Standard,2997,Grocery,5,23,4,13
CUST0262,55+,F,Standard,602,Grocery,49,29,4,18
CUST0263,35-44,F,Standard,792,Fuel,50,22,0,24
CUST0264,45-54,Other,Standard,4935,Fuel,65,6,0,3
CUST0265,55+,F,Standard,2728,Fuel,60,9,0,39
CUST0266,45-54,Other,Standard,2609,Grocery,20,28,2,38
CUST0267,45-54,M,Standard,4611,Grocery,38,16,2,44
CUST0268,18-24,Other,Standard,4781,Grocery,39,20,2,42
CUST0269,25-34,Other,Standard,4780,Fuel,61,25,0,47
CUST0270,55+,Other,4U+,1984,Fuel,4,8,0,13
CUST0271,25-34,F,Standard,2569,Grocery,53,27,1,27
CUST0272,25-34,Other,4U+,1131,Fuel,66,15,0,43
CUST0273,45-54,Other,4U+,2570,Grocery,22,15,4,23
CUST0274,35-44,Other,Standard,1575,Grocery,31,14,1,20
CUST0275,45-54,F,Standard,4005,Fuel,40,22,0,60
CUST0276,55+,F,Standard,998,Grocery,73,17,2,50
CUST0277,18-24,F,Standard,344,Grocery,36,19,5,17
CUST0278,35-44,Other,4U+,1655,Fuel,68,27,0,18
CUST0279,25-34,M,Standard,4807,Fuel,30,26,0,58
CUST0280,45-54,F,Standard,430,Fuel,12,27,0,31
CUST0281,25-34,F,Standard,42,Fuel,70,25,0,60
CUST0282,35-44,F,4U+,1633,Grocery,36,25,0,59
CUST0283,25-34,F,Standard,4383,Fuel,4,10,0,60
CUST0284,35-44,M,Standard,4058,Grocery,23,5,2,37
CUST0285,55+,Other,Standard,2331,Grocery,58,20,1,55
CUST0286,35-44,M,4U+,1579,Grocery,14,28,3,42
CUST0287,35-44,Other,Standard,115,Fuel,43,26,0,49
CUST0288,55+,F,Standard,3321,Fuel,54,7,0,26
CUST0289,35-44,M,Standard,1151,Fuel,61,5,0,17
CUST0290,35-44,F,4U+,3659,Fuel,34,23,0,47
CUST0291,25-34,M,Standard,2945,Grocery,88,26,0,30
CUST0292,55+,Other,Standard,3321,Fuel,87,29,0,20
CUST0293,25-34,M,Standard,3010,Grocery,78,9,3,10
CUST0294,55+,F,4U+,3406,Grocery,89,29,4,52
CUST0295,55+,F,Standard,4880,Fuel,10,21,0,46
CUST0296,18-24,Other,Standard,4621,Fuel,14,21,0,13
CUST0297,45-54,M,Standard,2687,Fuel,66,26,0,14
CUST0298,18-24,F,4U+,4180,Fuel,57,9,0,33
CUST0299,55+,F,4U+,4619,Grocery,7,26,2,47
CUST0300,25-34,Other,Standard,2084,Grocery,0,7,0,28
CUST0301,18-24,F,Standard,4433,Fuel,7,6,0,19
CUST0302,45-54,F,4U+,1109,Fuel,82,17,0,29
CUST0303,55+,M,4U+,657,Grocery,87,25,2,8
CUST0304,25-34,M,Standard,4332,Grocery,16,29,0,20
CUST0305,25-34,M,4U+,4357,Grocery,48,19,2,10
CUST0306,45-54,Other,Standard,924,Fuel,4,29,0,60
CUST0307,18-24,Other,Standard,1688,Fuel,8,6,0,29
CUST0308,45-54,M,Standard,362,Fuel,51,22,0,14
CUST0309,25-34,Other,Standard,4127,Fuel,37,23,0,21
CUST0310,55+,M,Standard,2472,Fuel,18,18,0,20
CUST0311,25-34,Other,Standard,4560,Fuel,75,26,0,28
CUST0312,45-54,Other,4U+,2821,Fuel,82,15,0,45
CUST0313,45-54,M,4U+,1222,Grocery,38,29,4,31
CUST0314,25-34,F,Standard,2463,Fuel,90,6,0,36
CUST0315,25-34,F,4U+,4565,Grocery,67,12,2,14
CUST0316,18-24,Other,Standard,3684,Fuel,47,28,0,54
CUST0317,55+,Other,Standard,2199,Fuel,48,6,0,56
CUST0318,55+,M,Standard,4813,Fuel,85,20,0,14
CUST0319,25-34,Other,Standard,125,Grocery,27,8,5,49
CUST0320,25-34,F,4U+,4951,Fuel,90,12,0,36
CUST0321,55+,Other,Standard,3118,Grocery,59,16,2,17
CUST0322,45-54,F,Standard,3817,Grocery,12,11,2,21
CUST0323,25-34,M,4U+,4608,Fuel,28,13,0,36
CUST0324,35-44,M,4U+,1248,Grocery,25,17,4,54
CUST0325,35-44,F,Standard,4510,Grocery,83,29,3,47
CUST0326,25-34,M,4U+,1378,Grocery,45,28,4,32
CUST0327,18-24,Other,Standard,4292,Fuel,4,6,0,49
CUST0328,25-34,M,Standard,1126,Grocery,80,27,1,1
CUST0329,55+,Other,Standard,3057,Grocery,7,26,4,59
CUST0330,55+,Other,4U+,128,Grocery,0,18,0,2
CUST0331,45-54,M,Standard,140,Grocery,64,8,0,34
CUST0332,55+,F,Standard,1572,Fuel,79,16,0,18
CUST0333,45-54,Other,4U+,3056,Fuel,51,12,0,45
CUST0334,18-24,M,Standard,660,Grocery,83,17,3,25
CUST0335,25-34,M,4U+,77,Fuel,89,20,0,55
CUST0336,55+,M,4U+,4635,Grocery,12,12,1,58
CUST0337,35-44,Other,4U+,381,Grocery,9,23,5,3
CUST0338,55+,M,Standard,128,Grocery,26,29,5,53
CUST0339,55+,M,4U+,2451,Fuel,20,23,0,54
CUST0340,18-24,Other,4U+,3144,Grocery,17,28,2,4
CUST0341,35-44,Other,Standard,1901,Grocery,9,29,4,39
CUST0342,35-44,F,4U+,242,Grocery,81,20,1,23
CUST0343,55+,Other,4U+,1521,Grocery,87,17,0,50
CUST0344,35-44,M,Standard,602,Fuel,10,17,0,46
CUST0345,18-24,M,Standard,2594,Grocery,46,5,2,29
CUST0346,18-24,M,Standard,837,Grocery,16,18,3,36
CUST0347,35-44,Other,4U+,215,Fuel,11,7,0,39
CUST0348,45-54,F,Standard,101,Grocery,37,29,0,47
CUST0349,25-34,F,Standard,3118,Fuel,21,14,0,18
CUST0350,45-54,F,4U+,518,Fuel,21,18,0,20
CUST0351,25-34,Other,4U+,2958,Fuel,32,25,0,32
CUST0352,35-44,M,Standard,876,Grocery,17,17,2,54
CUST0353,45-54,Other,4U+,3606,Grocery,42,24,1,20
CUST0354,25-34,F,Standard,3924,Fuel,40,15,0,19
CUST0355,35-44,F,4U+,2669,Fuel,48,16,0,8
CUST0356,45-54,Other,Standard,4506,Fuel,3,11,0,29
CUST0357,45-54,M,Standard,3351,Fuel,86,25,0,20
CUST0358,45-54,M,Standard,1262,Grocery,54,19,4,31
CUST0359,35-44,Other,4U+,4453,Grocery,4,30,4,39
CUST0360,35-44,M,Standard,2033,Fuel,84,25,0,40
CUST0361,18-24,M,Standard,2716,Grocery,55,8,2,15
CUST0362,45-54,Other,Standard,3064,Grocery,50,23,5,33
CUST0363,18-24,F,Standard,201,Grocery,61,18,0,8
CUST0364,45-54,M,Standard,2555,Grocery,43,21,3,23
CUST0365,45-54,F,4U+,3589,Fuel,89,7,0,20
CUST0366,18-24,Other,Standard,185,Fuel,43,30,0,11
CUST0367,35-44,Other,Standard,4521,Fuel,20,18,0,30
CUST0368,45-54,F,Standard,1511,Grocery,23,5,5,40
CUST0369,45-54,M,Standard,4851,Grocery,54,27,1,14
CUST0370,55+,M,Standard,4729,Fuel,13,16,0,21
CUST0371,45-54,Other,Standard,933,Grocery,33,25,2,39
CUST0372,35-44,F,4U+,4808,Grocery,14,19,4,12
CUST0373,18-24,M,Standard,1097,Fuel,40,14,0,8
CUST0374,45-54,F,Standard,1158,Grocery,65,24,1,37
CUST0375,55+,Other,4U+,1521,Grocery,62,25,1,36
CUST0376,25-34,F,Standard,2366,Grocery,17,19,4,4
CUST0377,25-34,F,Standard,3969,Fuel,17,22,0,33
CUST0378,45-54,F,4U+,4028,Grocery,53,10,0,37
CUST0379,35-44,M,Standard,2392,Fuel,4,22,0,19
CUST0380,55+,Other,Standard,4633,Grocery,63,8,4,8
CUST0381,45-54,Other,Standard,4440,Grocery,5,11,3,7
CUST0382,35-44,F,Standard,264,Grocery,57,7,3,56
CUST0383,35-44,Other,Standard,1719,Fuel,75,24,0,41
CUST0384,25-34,M,4U+,1140,Fuel,26,23,0,23
CUST0385,35-44,F,Standard,2651,Fuel,90,23,0,18
CUST0386,35-44,Other,Standard,3371,Fuel,7,9,0,45
CUST0387,25-34,Other,Standard,1198,Fuel,41,17,0,32
CUST0388,45-54,M,Standard,3393,Grocery,48,25,0,26
CUST0389,35-44,Other,Standard,3724,Grocery,62,5,5,6
CUST0390,45-54,M,4U+,518,Grocery,68,18,1,32
CUST0391,55+,Other,Standard,2323,Grocery,43,9,4,55
CUST0392,18-24,Other,4U+,396,Grocery,5,30,3,2
CUST0393,18-24,F,Standard,3615,Fuel,58,11,0,45
CUST0394,18-24,Other,Standard,1302,Grocery,35,16,2,6
CUST0395,35-44,Other,Standard,424,Fuel,50,27,0,49
CUST0396,18-24,M,Standard,747,Grocery,90,11,3,5
CUST0397,45-54,M,Standard,4255,Fuel,87,5,0,45
CUST0398,25-34,F,Standard,3459,Fuel,88,7,0,15
CUST0399,35-44,F,4U+,839,Fuel,13,14,0,9
CUST0400,55+,Other,4U+,1170,Fuel,8,5,0,40
CUST0401,25-34,F,Standard,2876,Grocery,27,24,5,29
CUST0402,18-24,Other,Standard,823,Fuel,17,28,0,25
CUST0403,25-34,F,Standard,2576,Grocery,17,25,0,16
CUST0404,55+,Other,Standard,2471,Fuel,26,21,0,13
CUST0405,45-54,F,4U+,447,Grocery,30,8,1,32
CUST0406,25-34,F,Standard,2958,Fuel,40,23,0,27
CUST0407,18-24,Other,Standard,3858,Fuel,9,7,0,1
CUST0408,45-54,Other,Standard,326,Fuel,7,14,0,41
CUST0409,55+,Other,4U+,3295,Grocery,10,24,1,18
CUST0410,25-34,M,Standard,647,Grocery,65,22,2,26
CUST0411,18-24,M,Standard,3583,Grocery,30,7,3,8
CUST0412,25-34,M,4U+,2533,Fuel,85,5,0,46
CUST0413,35-44,Other,Standard,1342,Fuel,63,21,0,51
CUST0414,35-44,Other,Standard,3046,Fuel,16,8,0,50
CUST0415,55+,M,Standard,3517,Grocery,34,13,5,37
CUST0416,35-44,M,Standard,3728,Grocery,65,20,4,11
CUST0417,55+,Other,Standard,2089,Fuel,13,28,0,8
CUST0418,25-34,M,Standard,360,Fuel,1,20,0,24
CUST0419,55+,Other,4U+,1466,Fuel,4,28,0,42
CUST0420,45-54,Other,4U+,2636,Fuel,31,15,0,18
CUST0421,18-24,M,Standard,978,Grocery,64,12,4,3
CUST0422,35-44,F,4U+,3810,Fuel,36,7,0,36
CUST0423,35-44,Other,4U+,3022,Fuel,25,30,0,20
CUST0424,45-54,M,Standard,3016,Grocery,75,28,4,49
CUST0425,18-24,M,Standard,52,Fuel,52,22,0,23
CUST0426,45-54,Other,Standard,11,Grocery,84,28,2,7
CUST0427,18-24,M,Standard,3439,Fuel,62,27,0,18
CUST0428,45-54,Other,Standard,1896,Fuel,66,16,0,30
CUST0429,45-54,M,Standard,4140,Fuel,17,23,0,37
CUST0430,35-44,F,Standard,1070,Grocery,30,15,3,45
CUST0431,25-34,M,Standard,3708,Grocery,34,11,1,50
CUST0432,45-54,F,Standard,865,Fuel,21,15,0,27
CUST0433,35-44,F,Standard,1700,Grocery,57,13,0,6
CUST0434,25-34,F,Standard,4942,Grocery,5,9,0,46
CUST0435,18-24,Other,Standard,3246,Grocery,65,14,2,53
